Douglas C. Aagard,October 19,Republican,Denise
Sam Aanestad,"Samuel Mark AanestadJuly 16, 1946Bismarck, North Dakota, U.S.",Republican,Susan Aanestad
Watkins Abbitt Jr.,"Watkins Moorman Abbitt Jr.October 20, 1944 (age 74)Appomattox, Virginia, U.S.",Independent,Madeline I. Ganley
Greg Abbott,"Gregory Wayne AbbottNovember 13, 1957 (age 61)Wichita Falls, Texas, U.S.",Republican,Cecilia Phalen (m. 1981)
Jim Abeler,"May 18, 1954 (age 64)Minneapolis, Minnesota, U.S.",Republican Party of Minnesota,Barb
Neil Abercrombie,"June 26, 1938 (age 80)Buffalo, New York, U.S.",Democratic,Nancie Caraway (m. 1981)
Thomas Abinanti,"1946/1947 (age 71–72)New York City, New York, U.S.",Democratic,Janet Longo
Mark Thorpe Abraham,"November 11, 1953 (age 65)",Republican,Gina Abraham
Ralph Abraham,"Ralph Lee Abraham Jr.September 16, 1954 (age 64)Monroe, Louisiana, U.S.",Republican,Dianne Abraham (m. 1977)
Spencer Abraham,"Edward Spencer AbrahamJune 12, 1952 (age 66)East Lansing, Michigan, U.S.",Republican,Jane Abraham
Neil Abramson,"Neil Charles AbramsonMay 2, 1967 (age 51)New Orleans, Louisiana, U.S.",Democratic,Kim Abramson
Patricia L. Acampora,"December 10, 1945 (age 73)Waukegan, Illinois",Republican,Alan Croce
Aníbal Acevedo Vilá,"Aníbal Salvador Acevedo ViláFebruary 13, 1962 (age 56)San Juan, Puerto Rico, U.S.",Popular Democratic,Piti Gándara
Katcho Achadjian,"June 2, 1951 (age 67)Lebanon[3]",Republican,Araxie Achadjian
Dick Ackerman,"December 5, 1942 (age 76)Long Beach, California",Republican,Linda Ackerman
Gary Ackerman,"Gary Leonard AckermanNovember 19, 1942 (age 76)Brooklyn, New York, U.S.",Democratic,Rita Gale Tewel
Patty Acomb,"1964/1965 (age 53–54)Minnetonka, Minnesota",Democratic–Farmer–Labor,Craig Acomb
Cindy Acree,"October 15, 1961 [1][2]Bentonville, Arkansas [1]",Republican,Robert (deceased 2009) [1]
Joe Adams,"January 4, 1944 (age 74)Kansas City, Missouri",Democratic,Nancy
