Aaliyah,"Aaliyah Dana HaughtonJanuary 16, 1979Brooklyn, New York, U.S.",R. Kelly(m. 1994; ann. 1995)
Paula Abdul,"Paula Julie AbdulJune 19, 1962 (age 56)San Fernando, California, U.S.",Emilio Estevez(m. 1992; div. 1994) Brad Beckerman(m. 1996; div. 1998)
Amy Adams,"Amy Lou AdamsAugust 20, 1974 (age 44)Vicenza, Italy",Darren Le Gallo (m. 2015)
Pearl Aday,1975 (age 42–43),Scott Ian
Titilayo Adedokun,"Titilayo Rachel Adedokun1973 (age 44–45)Nashville, Tennessee, U.S.",Ruediger Helm
Dianna Agron,"Dianna Elise AgronApril 30, 1986 (age 32)Savannah, Georgia, U.S.",Winston Marshall (m. 2016)
Christina Aguilera,"Christina María AguileraDecember 18, 1980 (age 38)New York City, New York, U.S.",Jordan Bartman(m. 2005; div. 2011)
Tatyana Ali,"Tatyana Marisol AliJanuary 24, 1979 (age 39)North Bellmore, New York, U.S.",Vaughn Rasberry (m. 2016)
Keith Andes,"John Charles AndesJuly 12, 1920Ocean City, New Jersey, U.S.",Jean Alice Cotton (m. 1946–1961) (divorced) 2 childrenShelah Hackett (divorced)
Angelyne,"Ronia Tamar GoldbergOctober 2, 1950 (age 68)Polish People's Republic",Michael Strauss(m. 1968; div. 1969)
Brandy Aniston,"October 19, 1984 (age 34)[1]Huntington Beach, California, U.S.[2]",Craig Sharkey
Ann-Margret,"Ann-Margret OlssonApril 28, 1941 (age 77)Valsjöbyn, Sweden",Roger Smith(m. 1967; died 2017)
Lucie Arnaz,"Lucie Désirée ArnazJuly 17, 1951 (age 67)Los Angeles, California, U.S.",Phil Vandervort(m. 1971; div. 1977)Laurence Luckinbill (m. 1980)
Tichina Arnold,"Tichina Rolanda ArnoldJune 28, 1969 (age 49)Queens, New York, U.S.",Lamon Brewster(m. 1991; div. 1995) DaRico Hines(m. 2012; div. 2016)
Frankie Avalon,"Francis Thomas AvalloneSeptember 18, 1940 (age 78)[1]Philadelphia, Pennsylvania, U.S.",Kathryn Diebel (m. 1963)
Penn Badgley,"Penn Dayton BadgleyNovember 1, 1986 (age 32)Baltimore, Maryland, U.S.",Domino Kirke (m. 2017)
Jane Badler,"December 31, 1953 (age 64)Brooklyn, New York City, U.S.",Stephen Hains[1]
Adrienne Bailon,"Adrienne Eliza BailonOctober 24, 1983 (age 35)Manhattan, New York, U.S.",Israel Houghton (m. 2016)
Troy Baker,"April 1, 1976 (age 42)Dallas, Texas, U.S.[1]",Kimberly Beck(m. 2004; div. 2006)Pamela Walworth (m. 2012)
Kate Baldwin,"Katherine BaldwinMay 2, 1975 (age 43)Evanston, Illinois, U.S.",Graham Rowat (Oct. 2005–present)
Eric Balfour,"Eric Salter BalfourApril 24, 1977 (age 41)Los Angeles, California, U.S.",Erin Chiamulon (m. 2015)
Mark Ballas,"Mark Alexander Ballas Jr.[1]May 24, 1986 (age 32)Houston, Texas, United States",BC Jean (m. 2016)
Lisa Barbuscia,"Lisa BarbusciaJune 18, 1971 (age 47)Brooklyn, New York, United States",Anton Bilton
Lance Bass,"James Lance Bass[1]May 4, 1979 (age 39)Laurel, Mississippi, U.S.",Michael Turchin (m. 2014)
Josh Beech,"Joshua Beech26 December 1985 (age 32)Biggin Hill, London, England",Shenae Grimes (m. 2013)
Pat Benatar,"Patricia Mae AndrzejewskiJanuary 10, 1953 (age 65)Greenpoint, Brooklyn, New York, U.S.",Dennis Benatar(m. 1972; div. 1979)Neil Giraldo (m. 1982)
Tony Bennett,"Anthony Dominick BenedettoAugust 3, 1926 (age 92)New York City, New York, U.S.",Patricia Beech(m. 1952; div. 1971) Sandra Grant(m. 1971; div. 2007)[1] Susan Crow (m. 2007)
Chester Bennington,"Chester Charles BenningtonMarch 20, 1976Phoenix, Arizona, U.S.",Samantha Olit(m. 1996; div. 2005) Talinda Bentley (m. 2006)
Melissa Benoist,"Melissa Marie BenoistOctober 4, 1988 (age 30)Houston, Texas, U.S.[1]",Blake Jenner (m. 2013 or 2015;[a] div. 2017)
Jodi Benson,"Jodi Marie MarzoratiOctober 10, 1961 (age 57)Rockford, Illinois, U.S.",Ray Benson (m. 1984)
Rosa Blasi,"December 19, 1972 (age 46)Chicago, Illinois, U.S.",Jim Finn(m. 2004; div. 2008)Todd William Harris (m. 2014)
Corbin Bleu,"Corbin Bleu ReiversFebruary 21, 1989 (age 29)Brooklyn, New York, U.S.",Sasha Clements (m. 2016)
Jon Bon Jovi,"John Francis Bongiovi Jr.March 2, 1962 (age 56)Perth Amboy, New Jersey, U.S.",Dorothea Hurley (m. 1989)
Alex Borstein,"Alexandrea BorsteinFebruary 15, 1971 (age 47)Highland Park, Illinois, U.S.",Jackson Douglas(m. 1999; div. 2014)
